_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
718718_CLEARTRIP,CLEARTRIP,17.924004,73.65751,Mahabaleshwar,412806,NA
718720_CLEARTRIP,CLEARTRIP,19.03932,73.010056,Navi Mumbai,400614,NA
718723_CLEARTRIP,CLEARTRIP,12.998319,77.61312,Bangalore,560043,NA
718727_CLEARTRIP,CLEARTRIP,10.024103,77.04183,Munnar,685565,NA
718738_CLEARTRIP,CLEARTRIP,30.090893,78.28857,Rishikesh,249201,NA
718717_CLEARTRIP,CLEARTRIP,25.933842,73.01768,Rohet,NA,NA
41914_CLEARTRIP,CLEARTRIP,18.942995,72.82759,Mumbai,400002,Fortune Group
413491_CLEARTRIP,CLEARTRIP,17.449623,78.37888,Hyderabad,500081,Trident/Oberoi Hotels
41919_CLEARTRIP,CLEARTRIP,19.139471,72.833725,Mumbai,400053,NA
718679_CLEARTRIP,CLEARTRIP,8.738738,76.70036,Varkala,695141,NA
41945_CLEARTRIP,CLEARTRIP,28.643658,77.18251,New Delhi,110005,NA
41958_CLEARTRIP,CLEARTRIP,12.934774,77.6157,Bangalore,560095,NA
41964_CLEARTRIP,CLEARTRIP,12.96941,77.60071,Bangalore,560001,Nandhini Group Of Hotels
41924_CLEARTRIP,CLEARTRIP,19.095806,72.85382,Mumbai,400099,Sahara
41972_CLEARTRIP,CLEARTRIP,28.536568,77.21125,New Delhi,110017,NA
41977_CLEARTRIP,CLEARTRIP,28.65429,77.234085,New Delhi,110006,NA
41984_CLEARTRIP,CLEARTRIP,12.979902,77.64655,Bangalore,560039,NA
41935_CLEARTRIP,CLEARTRIP,28.641026,77.237915,New Delhi,110002,NA
41990_CLEARTRIP,CLEARTRIP,12.960944,77.64541,Bangalore,560008,NA
42033_CLEARTRIP,CLEARTRIP,15.270368,73.96226,Goa,403601,NA
42025_CLEARTRIP,CLEARTRIP,15.497992,73.77198,Goa,403518,NA
42012_CLEARTRIP,CLEARTRIP,28.4805,77.126854,New Delhi,110047,NA
42039_CLEARTRIP,CLEARTRIP,12.939793,77.5712,Bangalore,560004,NA
42051_CLEARTRIP,CLEARTRIP,15.505098,73.76901,Goa,403516,NA
42060_CLEARTRIP,CLEARTRIP,15.541418,73.76425,Goa,403516,NA
42064_CLEARTRIP,CLEARTRIP,15.543511,73.76279,Goa,403516,NA
42002_CLEARTRIP,CLEARTRIP,12.979899,77.607124,Bangalore,560001,NA
42074_CLEARTRIP,CLEARTRIP,15.509286,73.77223,Goa,403515,NA
42097_CLEARTRIP,CLEARTRIP,17.254301,78.678535,Hyderabad,501512,NA
42117_CLEARTRIP,CLEARTRIP,18.76821,73.4059,Lonavala,410403,NA
42092_CLEARTRIP,CLEARTRIP,17.41718,78.45568,Hyderabad,500082,NA
42129_CLEARTRIP,CLEARTRIP,12.947767,80.13786,Chennai,600044,NA
42137_CLEARTRIP,CLEARTRIP,13.040703,80.23497,Chennai,600017,NA
42144_CLEARTRIP,CLEARTRIP,19.991499,73.744095,Nashik,422007,Ginger hotels
42174_CLEARTRIP,CLEARTRIP,26.915806,70.908356,Jaisalmer,345001,NA
