_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00014766_TRAVELGURU,TRAVELGURU,32.991497,74.931816,KATRA,182301,--None--
00014767_TRAVELGURU,TRAVELGURU,23.02781,72.59623,AHMEDABAD,380001,--None--
00014768_TRAVELGURU,TRAVELGURU,23.524364,80.8282,BANDHAVGARH,484661,--None--
00014764_TRAVELGURU,TRAVELGURU,32.990753,74.9348,KATRA,182301,--None--
00014760_TRAVELGURU,TRAVELGURU,23.02649,72.58215,AHMEDABAD,380001,--None--
00014802_TRAVELGURU,TRAVELGURU,8.323758,77.0817,POOVAR,695525,--None--
00014794_TRAVELGURU,TRAVELGURU,22.583584,78.4314,PACHMARHI,461881,--None--
00014816_TRAVELGURU,TRAVELGURU,22.334513,80.61151,KANHA,481768,--None--
00014811_TRAVELGURU,TRAVELGURU,25.440134,75.637024,BUNDI,323001,--None--
00014817_TRAVELGURU,TRAVELGURU,30.709728,76.75893,CHANDIGARH,160051,--None--
00014821_TRAVELGURU,TRAVELGURU,22.451357,70.026215,JAMNAGAR,361006,--None--
00014770_TRAVELGURU,TRAVELGURU,22.473263,78.43535,PACHMARHI,461881,--None--
00014819_TRAVELGURU,TRAVELGURU,25.447388,75.63436,BUNDI,323001,--None--
00014822_TRAVELGURU,TRAVELGURU,22.463034,78.42755,PACHMARHI,461881,--None--
00014836_TRAVELGURU,TRAVELGURU,8.320297,77.0754,POOVAR,695525,--None--
00014837_TRAVELGURU,TRAVELGURU,30.709677,76.76067,CHANDIGARH,160051,--None--
00014835_TRAVELGURU,TRAVELGURU,22.473558,78.43566,PACHMARHI,461881,--None--
00014838_TRAVELGURU,TRAVELGURU,25.220062,75.8713,KOTA,324002,--None--
00014839_TRAVELGURU,TRAVELGURU,30.707968,76.76106,CHANDIGARH,160051,--None--
00014829_TRAVELGURU,TRAVELGURU,25.44776,75.63527,BUNDI,323001,--None--
00014840_TRAVELGURU,TRAVELGURU,17.14387,73.27445,GANPATIPULE,415612,--None--
00014841_TRAVELGURU,TRAVELGURU,9.60451,77.17094,THEKKADY,685536,--None--
00014846_TRAVELGURU,TRAVELGURU,16.664957,74.19655,KOLHAPUR,416001,--None--
00014842_TRAVELGURU,TRAVELGURU,17.181713,73.25613,GANPATIPULE,415612,--None--
00014861_TRAVELGURU,TRAVELGURU,8.570119,76.870636,THIRUVANANTHAPURAM,695582,--None--
00014858_TRAVELGURU,TRAVELGURU,23.019531,72.56814,AHMEDABAD,380007,--None--
00014865_TRAVELGURU,TRAVELGURU,16.703646,74.24154,KOLHAPUR,416002,--None--
00014869_TRAVELGURU,TRAVELGURU,8.485552,76.95494,THIRUVANANTHAPURAM,695036,--None--
00014873_TRAVELGURU,TRAVELGURU,23.0313,72.58396,AHMEDABAD,380007,--None--
00014882_TRAVELGURU,TRAVELGURU,32.248833,76.30671,MCLEODGANJ,176219,--None--
00014877_TRAVELGURU,TRAVELGURU,16.992327,73.293144,RATNAGIRI,415612,--None--
00014886_TRAVELGURU,TRAVELGURU,12.970627,77.616806,BANGALORE,560025,--None--
00014890_TRAVELGURU,TRAVELGURU,17.147528,73.26741,GANPATIPULE,415615,--None--
00014834_TRAVELGURU,TRAVELGURU,30.709667,76.76206,CHANDIGARH,160051,--None--
00014895_TRAVELGURU,TRAVELGURU,16.99437,73.29406,RATNAGIRI,415612,--None--
