1323724_CLEARTRIP,CLEARTRIP,11.011384,76.96559,Coimbatore,641009,Vista Rooms,cluster0,Vista Rooms at Ramnagar
1323486_CLEARTRIP,CLEARTRIP,17.44459,78.36052,Hyderabad,500032,OYO,cluster2,OYO Premium Gachibowli Flyover 2
1323542_CLEARTRIP,CLEARTRIP,26.064314,76.429085,Sawai Madhopur,0,NA,cluster4,The Rajbagh Resort
1323774_CLEARTRIP,CLEARTRIP,12.446692,75.97652,Coorg,571234,Vista Rooms,cluster9,Vista Rooms at Kushalnagar
1323778_CLEARTRIP,CLEARTRIP,12.424439,75.73603,Coorg,571201,Vista Rooms,cluster9,Vista Rooms at Hill Road
1323818_CLEARTRIP,CLEARTRIP,20.71716,70.981346,Diu,362520,Vista Rooms,cluster1,Vista Rooms at JethiBai Bus Station
1323834_CLEARTRIP,CLEARTRIP,15.333396,76.46668,Hampi,583239,Vista Rooms,cluster6,Vista Rooms at Pushpa Guest House
1323816_CLEARTRIP,CLEARTRIP,15.341425,76.45513,Hampi,583234,NA,cluster6,Vista Rooms at Mowgli Guest House
1323846_CLEARTRIP,CLEARTRIP,15.348631,75.14198,Hubli-Dharwad,580020,NA,cluster6,Vista Rooms at Hubli Station
1323848_CLEARTRIP,CLEARTRIP,15.369007,75.119194,Hubli-Dharwad,580031,NA,cluster6,Vista rooms at Vidya Nagar
1323872_CLEARTRIP,CLEARTRIP,26.253122,72.94195,Jodhpur,342007,Vista Rooms,cluster4,Vista Rooms at Chopasni
1323920_CLEARTRIP,CLEARTRIP,20.60986,72.92659,Valsad,396001,NA,cluster1,Vista Rooms at Dhobi Talao
1324026_CLEARTRIP,CLEARTRIP,26.881979,75.797356,Jaipur,302015,OYO,cluster4,OYO Premium Tonk Phatak
1323808_CLEARTRIP,CLEARTRIP,26.94118,75.84869,Jaipur,302002,OYO,cluster4,OYO Rooms Ramgarh Mor
1324088_CLEARTRIP,CLEARTRIP,18.94301,72.82904,Mumbai,400002,Vista Rooms,cluster8,Vista Rooms Near Marine Lines station
1324038_CLEARTRIP,CLEARTRIP,15.49529,73.82636,Goa,403001,Vista Rooms,cluster6,Vista Rooms at Panaji
1324230_CLEARTRIP,CLEARTRIP,17.987427,73.88765,Wai,412803,NA,cluster2,The Yellow Retreat
1324312_CLEARTRIP,CLEARTRIP,30.721159,76.85381,Chandigarh,134114,OYO,cluster3,OYO Rooms Chandigarh IT Park
1324362_CLEARTRIP,CLEARTRIP,31.628157,74.88576,Amritsar,143001,OYO,cluster12,OYO Rooms City Centre Guru Nanak Bhawan
1324372_CLEARTRIP,CLEARTRIP,31.32201,75.57296,Jalandhar,144001,OYO,cluster12,OYO Premium Nakodar Road Near Lovely Sweets Jalandhar
1324402_CLEARTRIP,CLEARTRIP,28.55887,77.24669,New Delhi,110065,OYO,cluster3,OYO Premium East of Kailash Extension
1324392_CLEARTRIP,CLEARTRIP,28.485916,77.50734,Noida,201308,OYO,cluster3,OYO Premium Greater Noida Beta II
1324262_CLEARTRIP,CLEARTRIP,17.440626,78.48057,Secunderabad,500003,OYO,cluster2,OYO Rooms Secunderabad Sindhi Colony
1324200_CLEARTRIP,CLEARTRIP,9.603182,77.1643,Thekkady,685509,Vista Rooms,cluster11,Vista Rooms at Anavachal
1324414_CLEARTRIP,CLEARTRIP,24.588999,73.68175,Udaipur,313001,OYO,cluster7,OYO Homes Ambavgarh Homestay
1324416_CLEARTRIP,CLEARTRIP,18.513622,73.844696,Pune,411030,OYO,cluster8,OYO Rooms Kelkar Road Deccan
1324420_CLEARTRIP,CLEARTRIP,28.542608,77.24191,New Delhi,110019,OYO,cluster3,OYO Premium CR Park
1324426_CLEARTRIP,CLEARTRIP,28.640825,77.209496,New Delhi,110055,OYO,cluster3,OYO Rooms Near RK Ashram Metro Paharganj
1324428_CLEARTRIP,CLEARTRIP,28.473812,77.10577,Gurgaon,122002,OYO,cluster3,OYO Premium Sikanderpur Metro I
1324434_CLEARTRIP,CLEARTRIP,28.44406,77.054375,Gurgaon,122001,OYO,cluster3,OYO Premium Cyber Park II
1324476_CLEARTRIP,CLEARTRIP,29.39805,79.44454,Nainital,263139,OYO,cluster3,OYO Rooms Heritage Jungle View
1324510_CLEARTRIP,CLEARTRIP,28.55447,77.35737,Noida,201301,OYO,cluster3,OYO Rooms Sector 46 Noida
1324502_CLEARTRIP,CLEARTRIP,30.348557,78.06223,Dehradun,248001,OYO,cluster3,OYO Premium Silver City Mall
1324604_CLEARTRIP,CLEARTRIP,18.539158,73.89886,Pune,411001,OYO,cluster8,OYO Apartment North Main Road
1324450_CLEARTRIP,CLEARTRIP,22.572659,88.3639,Kolkata,700001,OYO,cluster14,OYO Rooms Dalhousie Waterloo Street
1324616_CLEARTRIP,CLEARTRIP,18.535152,73.8765,Pune,411001,OYO,cluster8,OYO Rooms Dhole Patil Road
1324662_CLEARTRIP,CLEARTRIP,12.96231,77.60301,Bangalore,560025,OYO,cluster10,OYO Apartments Richmond Town
1324730_CLEARTRIP,CLEARTRIP,29.360703,79.48279,Nainital,263127,NA,cluster3,Two Chimneys-Pura Stays
1324740_CLEARTRIP,CLEARTRIP,11.535728,76.04434,Wayanad,673576,NA,cluster0,Vythiri Mist Resort
1324466_CLEARTRIP,CLEARTRIP,28.66763,77.09258,New Delhi,110063,OYO,cluster3,OYO Premium Paschim Vihar
1324784_CLEARTRIP,CLEARTRIP,9.684243,76.90538,Vagamon,0,NA,cluster11,The Kissing Mountains
1324792_CLEARTRIP,CLEARTRIP,10.136357,76.66229,Kothamangalam,686681,NA,cluster11,Peninsular Woods
1324778_CLEARTRIP,CLEARTRIP,27.160973,78.03181,Agra,282001,OYO,cluster4,OYO Rooms Crystal Tower Fatehabad Road
1324800_CLEARTRIP,CLEARTRIP,9.967632,76.245834,Kochi,682001,NA,cluster11,Rampart Homestay
1324806_CLEARTRIP,CLEARTRIP,23.156374,79.91821,Jabalpur,482001,OYO,cluster14,OYO Premium Shastri Bridge Jabalpur
1324812_CLEARTRIP,CLEARTRIP,30.124353,78.330376,Rishikesh,0,NA,cluster3,Shiv Shakti Hostel
1324824_CLEARTRIP,CLEARTRIP,30.680456,76.74626,Chandigarh,160065,OYO,cluster3,OYO Premium Near Railway Station Mohali
1324520_CLEARTRIP,CLEARTRIP,28.643028,77.2111,New Delhi,110055,OYO,cluster3,OYO Rooms Near RK Ashram Metro Station 2
1324848_CLEARTRIP,CLEARTRIP,11.928759,79.83326,Pondicherry,605001,OYO,cluster9,OYO Premium White Town
1324850_CLEARTRIP,CLEARTRIP,29.844526,79.60388,Kausani,263620,NA,cluster3,Hotel Aashritha Kausani
1324840_CLEARTRIP,CLEARTRIP,9.519469,76.355385,Alleppey,688006,NA,cluster11,Palmgrove Lake Resort
1324854_CLEARTRIP,CLEARTRIP,11.942909,79.83051,Pondicherry,605003,OYO,cluster9,OYO Premium MG Road Pondicherry
1324820_CLEARTRIP,CLEARTRIP,32.250656,77.17799,Manali,175131,OYO,cluster12,OYO Premium Log Huts Area
1324868_CLEARTRIP,CLEARTRIP,26.855986,75.827,Jaipur,302017,NA,cluster4,Hotel Grand Harshal
1324826_CLEARTRIP,CLEARTRIP,30.70247,76.79426,Chandigarh,160017,OYO,cluster3,OYO Premium Elante Mall
1324880_CLEARTRIP,CLEARTRIP,9.414034,76.38081,Alleppey,688505,OYO,cluster11,OYO Premium Allepey Kuttanad Resort
1324874_CLEARTRIP,CLEARTRIP,11.245301,75.787125,Kozhikode,673002,OYO,cluster0,OYO Premium Calicut Railway Station
1324914_CLEARTRIP,CLEARTRIP,12.953912,77.719246,Bangalore,560037,OYO,cluster10,OYO Premium Whitefield
1324872_CLEARTRIP,CLEARTRIP,12.116914,75.15504,Payyannur,671350,NA,cluster9,Avisa Island House
1324926_CLEARTRIP,CLEARTRIP,15.485413,73.811295,Goa,403001,OYO,cluster6,OYO Premium Panjim Caculo Mall
1324940_CLEARTRIP,CLEARTRIP,12.966492,77.60464,Bangalore,560025,OYO,cluster10,OYO Apartments Richmond Road
1324948_CLEARTRIP,CLEARTRIP,12.961302,77.59507,Bangalore,560027,OYO,cluster10,OYO Rooms Shantinagar
1325038_CLEARTRIP,CLEARTRIP,26.876543,75.717926,Jaipur,302024,OYO,cluster4,OYO Rooms Gajsinghpura Ajmer Road
1325042_CLEARTRIP,CLEARTRIP,31.426443,78.264885,Kinnaur,172106,NA,cluster12,Hotel Rock View Sangla
1324878_CLEARTRIP,CLEARTRIP,27.157244,78.050476,Agra,282001,NA,cluster4,Crystal Sarovar Premiere
1325056_CLEARTRIP,CLEARTRIP,17.713755,83.2967,Visakhapatnam,530004,OYO,cluster2,OYO Rooms Off Saraswati Park
1325058_CLEARTRIP,CLEARTRIP,33.09024,75.327156,Patnitop,182142,NA,cluster12,Hotel Patnitop
1325046_CLEARTRIP,CLEARTRIP,31.12647,77.14681,Shimla,0,NA,cluster12,Hotel Chadwick View
1325062_CLEARTRIP,CLEARTRIP,17.445366,78.38331,Hyderabad,500081,OYO,cluster2,OYO Premium HiTech City Patrika Nagar
1325064_CLEARTRIP,CLEARTRIP,13.626574,79.43173,Tirupati,517501,OYO,cluster13,OYO Premium Ramanuja Circle
1325066_CLEARTRIP,CLEARTRIP,13.639471,79.42791,Tirupati,517501,OYO,cluster13,OYO Rooms Leela Mahal Tirumala Road
1325070_CLEARTRIP,CLEARTRIP,16.514612,80.66901,Vijayawada,520008,OYO,cluster2,OYO Rooms Mahanadu Road Extension
1325086_CLEARTRIP,CLEARTRIP,16.51574,80.62699,Vijayawada,520003,OYO,cluster2,OYO Premium Alankar Circle
1325084_CLEARTRIP,CLEARTRIP,17.725409,83.30008,Visakhapatnam,530016,OYO,cluster2,OYO Premium Railway Station Road
1324908_CLEARTRIP,CLEARTRIP,12.96231,77.60301,Bangalore,560027,OYO,cluster10,OYO Apartments Shanthi Nagar
1325104_CLEARTRIP,CLEARTRIP,26.478285,80.35037,Kanpur,208001,OYO,cluster4,OYO Rooms Court Road
1325128_CLEARTRIP,CLEARTRIP,23.019186,72.5685,Ahmedabad,380006,OYO,cluster14,OYO Rooms Near V S Hospital 2
1325044_CLEARTRIP,CLEARTRIP,26.488201,80.32663,Kanpur,208001,NA,cluster4,Hotel Vijay Intercontinental
1325154_CLEARTRIP,CLEARTRIP,21.16138,79.07891,Nagpur,440016,OYO,cluster1,OYO Rooms Sadar Nagpur
1325138_CLEARTRIP,CLEARTRIP,21.190699,72.84231,Surat,395002,OYO,cluster1,OYO Rooms Textile Market
1325170_CLEARTRIP,CLEARTRIP,26.870956,81.01502,Lucknow,226010,NA,cluster4,Ranjana Heritage
1325172_CLEARTRIP,CLEARTRIP,10.218575,77.47819,Kodaikanal,624103,OYO,cluster11,'OYO Premium Nature''s Trail Golf Club Road'
1325116_CLEARTRIP,CLEARTRIP,29.384548,79.46117,Nainital,263139,NA,cluster3,Hotel Evelyn
1325094_CLEARTRIP,CLEARTRIP,19.045399,72.86442,Mumbai,400022,OYO,cluster8,OYO Premium Sion Railway Station
1325200_CLEARTRIP,CLEARTRIP,31.627491,74.88979,Amritsar,143001,OYO,cluster12,OYO Rooms Ram Talai Temple
1325204_CLEARTRIP,CLEARTRIP,32.243725,77.18939,Manali,175131,OYO,cluster12,OYO Premium The Piccadily
1325220_CLEARTRIP,CLEARTRIP,24.589624,72.712715,Mount Abu,307501,OYO,cluster7,OYO Rooms Polo Ground
1325210_CLEARTRIP,CLEARTRIP,30.636997,76.89437,Chandigarh,160104,OYO,cluster3,OYO Rooms Funcity Amusement Park
